GNF-Pf identifier,JC_XSMILES,Qualifier,PF proliferation inhibition 3D7 EC50 uM
GNF-Pf-4331,ClC1=CC=C(NC2=NC(NCC3=CC=CO3)=C4C=CC=CC4=N2)C=C1,,0.1126
GNF-Pf-4339,COC1=CC=C(C=C1)C(=O)O[C@H](C2CC3CCN2CC3C=C)C4=CC=NC5=CC=CC=C45,,0.3087
GNF-Pf-437,CCOC1=CC=C2N=C(C)C=C(NC3=CC=C(OC)C=C3)C2=C1,,0.419
GNF-Pf-4436,CCCCCCCN1C(=N)N(CC(O)C2=CC=C(Cl)C(Cl)=C2)C3=CC=CC=C13,,0.2038
GNF-Pf-4467,COC1=CC=CC(=C1)N2C(N)=NC(N)=NC2(C)C,,0.0555
GNF-Pf-4483,CCC1=CC2=C(NCCN3CCCCC3)N=CN=C2S1,,1.32
GNF-Pf-4500,COC1=CC=C(C=C1)C(CC2=CC=CC=C2)NC3CN4CCC3CC4,,4.26
GNF-Pf-4514,OC(CN1C(=N)N(CC2=CC=CC=C2)C3=CC=CC=C13)C4=CC=C(Br)C=C4,,0.2539
GNF-Pf-4525,CCCCCCCC(O)(C(CN1CCCCC1)C2=CC=CC=C2)C3=CC=C(OCC)C=C3,,1.183
GNF-Pf-4528,OC(CN1C(=N)N(CC2=CC=CC=C2)C3=CC=CC=C13)C4=CC=C(Cl)C=C4,,0.2571
GNF-Pf-4530,N=C1C=CN(CC(=O)N2CCCC3=CC=CC=C23)C4=CC=CC=C14,,1.493
GNF-Pf-4548,COC1=CC2=NC(NC(N)=N)=NC(C)=C2C=C1OC,,0.02439
GNF-Pf-4555,CC1=CC=C(C=C1)N2C(N)=NC(N)=NC2(C)C,,0.01929
GNF-Pf-4562,CCOC(=O)C1=CN=C2C=CC=CC2=C1NCCCN(C)C,,0.1981
GNF-Pf-4586,C=CCC1CC(CC2=CC=CC=C2)=CC(CC=C)N1,,4.31
GNF-Pf-4600,CC(C)CCNCC(O)CN1C2=CC=CC=C2C3=CC=CC=C13,,0.2009
GNF-Pf-4608,OC(CN1C(=N)N(CC=C)C2=CC=CC=C12)C3=CC=C(Cl)C(Cl)=C3,,0.1405
GNF-Pf-4685,CCC1(C)CC(CCNCC2=CC=CC=C2O)(CCO1)C3=CC=C(OC)C=C3,,0.455
GNF-Pf-4746,CC1CCN(CCCNC2=CC=C(C=C2[N+]([O-])=O)C(=O)NC3=CC=C(C)C(F)=C3)CC1,,0.1912
GNF-Pf-4752,CC2(CNCC1=CC=CC=C1O)C3CC4CC(C3)CC2C4,,0.1433
GNF-Pf-4924,BrC1=CC=C2NC(=O)C3(NCCC4=C3NC5=CC=CC=C45)C2=C1,,0.1976
GNF-Pf-4927,CCCCN(CCCC)CC(O)C1=CC(=NC2=CC(Cl)=CC=C12)C3=CC=C(Cl)C=C3,,0.1889
GNF-Pf-4940,O=C(NC1=CC=C(NC2=NCCN2)C=C1)C3=CC=C(C=C3)C(=O)NC4=CC=C(NC5=NCCN5)C=C4,,0.1664
GNF-Pf-4978,CC1=CC(NCCC2=CC=CC=C2)=NC3=CC(O)=CC=C13,,0.377
GNF-Pf-5020,COC1=CC=C2N=C3C=C(Cl)C=CC3=C(NCCCN(CCCN)CCCCN)C2=C1,,0.0786
GNF-Pf-5046,NC1=NC(N(C2=CC=CC=C2)C(N)=N1)C3=CC=CC=C3,,0.0823
GNF-Pf-5109,CCOC(=O)C1=C(CNCCN(CC)CC)N(C)C2=CC(Br)=C(O)C=C12,,0.515
GNF-Pf-5114,NC1=CC=C(C=C1)N2CCCCCC2,,0.1531
GNF-Pf-5130,ClC1=CC=CC=C1CN2C3=C(CCCC3)C(=N)C4=C2CCC4,,0.2216
GNF-Pf-5190,CCC1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1CC4NCCC5=CC(OC)=C(OC)C=C45,,0.0357
GNF-Pf-5251,[O-][N+](=O)C1=CC=C(CN2C3=C(CCCC3)C(=N)C4=C2CCC4)C=C1,,0.121
GNF-Pf-5264,C[C@H]1CN[C@@H]2C(C)[C@H]3[C@@H](C[C@H]4[C@@H]5CC[C@H]6C[C@@H](N)CC[C@]6(C)C5CC[C@]34C)O[C@@]2(O)C1,,0.863
GNF-Pf-5375,O=C(NC1=CC=C(C=C1)C2=NCCCN2)C3=CC=C(C=C3)C(=O)NC4=CC=C(C=C4)C5=NCCCN5,,0.1203
GNF-Pf-5403,OC1=CC=C(CN2CCCCC2)N=C1C3=CC=CC=C3,,0.2407
GNF-Pf-5475,COC1=CC(COC2=CC(N)=C(Cl)C=C2C(=O)CCC3CCN(CCNS(C)(=O)=O)CC3)=CC(OC)=C1,,0.788
GNF-Pf-5530,CC(CC1=CC=CC=C1)NCC2=CC=CC=C2O,,0.525
GNF-Pf-5559,O[C@@H]([C@@H]1CCCCN1)C2=CC(=NC3=C(C=CC=C23)C(F)(F)F)C(F)(F)F,,0.0517
